Week,ChatGPT: (Canada)
2023-02-12,0
2023-02-19,0
2023-02-26,0
2023-03-05,0
2023-03-12,0
2023-03-19,0
2023-03-26,0
2023-04-02,1
2023-04-09,0
2023-04-16,0
2023-04-23,0
2023-04-30,0
2023-05-07,0
2023-05-14,0
2023-05-21,0
2023-05-28,0
2023-06-04,0
2023-06-11,1
2023-06-18,52
2023-06-25,54
2023-07-02,55
2023-07-09,62
2023-07-16,55
2023-07-23,53
2023-07-30,53
2023-08-06,49
2023-08-13,50
2023-08-20,44
2023-08-27,49
2023-09-03,52
2023-09-10,75
2023-09-17,87
2023-09-24,96
2023-10-01,92
2023-10-08,83
2023-10-15,99
2023-10-22,89
2023-10-29,89
2023-11-05,96
2023-11-12,85
2023-11-19,94
2023-11-26,96
2023-12-03,97
2023-12-10,94
2023-12-17,64
2023-12-24,38
2023-12-31,47
2024-01-07,76
2024-01-14,92
2024-01-21,95
2024-01-28,100
