Week,playstation: (Canada)
2023-02-12,40
2023-02-19,43
2023-02-26,38
2023-03-05,39
2023-03-12,37
2023-03-19,35
2023-03-26,33
2023-04-02,33
2023-04-09,30
2023-04-16,27
2023-04-23,29
2023-04-30,29
2023-05-07,25
2023-05-14,26
2023-05-21,44
2023-05-28,31
2023-06-04,34
2023-06-11,32
2023-06-18,32
2023-06-25,34
2023-07-02,31
2023-07-09,32
2023-07-16,32
2023-07-23,35
2023-07-30,32
2023-08-06,32
2023-08-13,31
2023-08-20,44
2023-08-27,44
2023-09-03,38
2023-09-10,34
2023-09-17,35
2023-09-24,42
2023-10-01,37
2023-10-08,44
2023-10-15,37
2023-10-22,36
2023-10-29,40
2023-11-05,49
2023-11-12,74
2023-11-19,75
2023-11-26,60
2023-12-03,63
2023-12-10,68
2023-12-17,65
2023-12-24,100
2023-12-31,57
2024-01-07,43
2024-01-14,38
2024-01-21,39
2024-01-28,39
