Week,Donald Trump: (Canada)
2023-02-12,19
2023-02-19,20
2023-02-26,15
2023-03-05,19
2023-03-12,26
2023-03-19,81
2023-03-26,65
2023-04-02,100
2023-04-09,30
2023-04-16,23
2023-04-23,24
2023-04-30,23
2023-05-07,41
2023-05-14,21
2023-05-21,22
2023-05-28,22
2023-06-04,38
2023-06-11,51
2023-06-18,28
2023-06-25,25
2023-07-02,22
2023-07-09,19
2023-07-16,23
2023-07-23,24
2023-07-30,46
2023-08-06,35
2023-08-13,44
2023-08-20,93
2023-08-27,43
2023-09-03,24
2023-09-10,28
2023-09-17,25
2023-09-24,31
2023-10-01,41
2023-10-08,30
2023-10-15,27
2023-10-22,33
2023-10-29,31
2023-11-05,34
2023-11-12,28
2023-11-19,22
2023-11-26,22
2023-12-03,21
2023-12-10,23
2023-12-17,35
2023-12-24,30
2023-12-31,29
2024-01-07,34
2024-01-14,44
2024-01-21,53
2024-01-28,39
